,title,sub_title,brand,color_breif,fullPrice,currentPrice,country,availability,publish_date,created_date,discount_amount,asof_date
10,Nike Air Force 1 '07,Men's Shoe,Nike Sportswear,White/Black,109.95,109.95,GB,True,2022-10-19T12:44:00.000Z,2023-04-15T07:58:30.327Z,0.0,2023-04-16
11,Nike Dunk Low Retro SE,Men's Shoes,Nike Sportswear,Light Orewood Brown/Light Orewood Brown/University Red/Pale Ivory,109.95,109.95,GB,False,2023-01-23T00:00:00.000Z,2023-04-06T06:29:31.793Z,0.0,2023-04-16
12,Nike Waffle One,Men's Shoes,Nike Sportswear,Black/White/Orange/Black,89.95,44.97,GB,True,2021-05-20T07:00:00.000Z,2023-04-14T07:38:35.227Z,44.980000000000004,2023-04-16
13,Nike Air Max Plus 3,Men's Shoes,Nike Sportswear,Black/Smoke Grey/White,179.95,125.97,GB,True,2022-12-26T08:00:00.000Z,2023-04-06T06:53:57.609Z,53.97999999999999,2023-04-16
14,Nike Air Max Plus Utility,Men's Shoes,Nike Sportswear,Wolf Grey/Cool Grey/Varsity Maize/Black,179.95,179.95,GB,True,2023-02-16T08:00:00.000Z,2023-04-06T06:54:17.708Z,0.0,2023-04-16
15,Nike Dunk Low Retro,Men's Shoes,Nike Sportswear,White/White/Pure Platinum,99.95,99.95,GB,True,2023-01-30T15:25:00.000Z,2023-04-10T18:46:14.832Z,0.0,2023-04-16
16,Nike Air Max TW Next Nature,Men's Shoes,Nike Sportswear,Black/Iron Grey/White/Baltic Blue,144.95,86.97,GB,True,2023-02-02T08:00:00.000Z,2023-04-12T14:42:08.635Z,57.97999999999999,2023-04-16
17,Nike Air Max Terrascape Plus,Men's Shoes,Nike Sportswear,Black/Anthracite/Black/Anthracite,179.95,179.95,GB,True,2022-12-26T08:00:00.000Z,2023-04-13T14:50:08.964Z,0.0,2023-04-16
18,Nike Dunk High Retro,Men's Shoe,Nike Sportswear,Blue Chill/White/Amarillo/Blue Chill,109.95,109.95,GB,True,2022-12-08T14:12:00.000Z,2023-04-07T09:24:45.888Z,0.0,2023-04-16
19,Air Jordan 1 Low,Men's Shoes,Jordan,True Blue/White/Cement Grey,109.95,109.95,GB,True,2023-01-17T08:00:00.000Z,2023-04-16T12:43:08.378Z,0.0,2023-04-16
20,Air Jordan 1 Low SE,Men's Shoes,Jordan,White/Black,114.95,114.95,GB,False,2023-02-20T15:00:00.000Z,2023-04-09T15:23:10.842Z,0.0,2023-04-16
21,Nike Air Force 1 '07,Men's Shoes,Nike Sportswear,Black/Wolf Grey/Metallic Silver,114.95,114.95,GB,True,2023-01-05T08:00:00.000Z,2023-04-15T22:16:55.383Z,0.0,2023-04-16
22,Air Jordan 1 Mid,Shoes,Jordan,White/Obsidian/Metallic Gold,114.95,114.95,GB,True,2023-01-16T00:00:00.000Z,2023-04-15T18:27:59.557Z,0.0,2023-04-16
23,Nike Air Force 1 '07,Men's Shoes,Nike Sportswear,Light Smoke Grey/Summit White/White/Midnight Navy,114.95,114.95,GB,True,2023-01-31T08:00:00.000Z,2023-04-06T06:56:18.563Z,0.0,2023-04-16
24,Nike Zoom Rival,Athletics Sprinting Spikes,Nike,Black/Light Smoke Grey/Dark Smoke Grey/Metallic Silver,69.95,69.95,GB,True,2023-03-21T08:00:00.000Z,2023-04-08T11:23:42.243Z,0.0,2023-04-16
25,Nike Zoom Mercurial Vapor 15 Academy TF,Turf Football Shoes,Nike,Black/Summit White/Volt/Dark Smoke Grey,74.95,74.95,GB,True,2022-12-16T08:00:00.000Z,2023-04-13T12:11:34.913Z,0.0,2023-04-16
26,NikeCourt Legacy,Men's Shoes,Nike Sportswear,Black/White,69.95,41.97,GB,True,2022-03-28T09:30:00.000Z,2023-04-07T15:15:24.339Z,27.980000000000004,2023-04-16
27,Nike Air Max 95 By You,Custom Men's Shoe,Nike Sportswear,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,179.95,179.95,GB,True,2022-06-07T16:00:00.000Z,2023-04-06T06:04:52.994Z,0.0,2023-04-16
28,Nike Zoom Mercurial Superfly 9 Pro FG,Firm-Ground Football Boot,Nike,Yellow Strike/Doll/Coconut Milk/Sunset Glow,144.95,72.47,GB,False,2022-09-01T12:20:00.000Z,2023-04-06T06:00:42.751Z,72.47999999999999,2023-04-16
